time;ue_id;ap_id;mcs_index;efficiency;bandwidth;rate
5.073843578742242;ue_9;ap_5;24;6.5703;50000000.0;328515000.0
5.133859762060262;ue_3;ap_0;12;3.0293;50000000.0;151465000.0
5.133859762060262;ue_4;ap_0;17;4.5234;50000000.0;226169999.99999997
5.133859762060262;ue_3;ap_0;12;3.0293;50000000.0;151465000.0
5.133859762060262;ue_4;ap_0;14;3.6094;50000000.0;180470000.0
5.4886496955681645;ue_0;ap_5;23;6.2266;50000000.0;311330000.0
5.4886496955681645;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
5.4886496955681645;ue_0;ap_5;23;6.2266;50000000.0;311330000.0
5.4886496955681645;ue_9;ap_5;24;6.5703;50000000.0;328515000.0
5.570047518788267;ue_3;ap_0;15;3.9023;50000000.0;195115000.0
5.570047518788267;ue_4;ap_0;14;3.6094;50000000.0;180470000.0
5.570047518788267;ue_3;ap_0;12;3.0293;50000000.0;151465000.0
5.570047518788267;ue_4;ap_0;14;3.6094;50000000.0;180470000.0
5.573843578742242;ue_0;ap_5;27;7.4063;50000000.0;370315000.0
5.573843578742242;ue_9;ap_5;24;6.5703;50000000.0;328515000.0
5.573843578742242;ue_0;ap_5;23;6.2266;50000000.0;311330000.0
5.573843578742242;ue_9;ap_5;24;6.5703;50000000.0;328515000.0
5.633859762060262;ue_3;ap_0;12;3.0293;50000000.0;151465000.0
5.633859762060262;ue_4;ap_0;17;4.5234;50000000.0;226169999.99999997
5.633859762060262;ue_3;ap_0;12;3.0293;50000000.0;151465000.0
5.633859762060262;ue_4;ap_0;14;3.6094;50000000.0;180470000.0
5.9886496955681645;ue_0;ap_5;23;6.2266;50000000.0;311330000.0
5.9886496955681645;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
5.9886496955681645;ue_0;ap_5;23;6.2266;50000000.0;311330000.0
5.9886496955681645;ue_9;ap_5;24;6.5703;50000000.0;328515000.0
6.070047518788267;ue_3;ap_0;15;3.9023;50000000.0;195115000.0
6.070047518788267;ue_4;ap_0;14;3.6094;50000000.0;180470000.0
6.070047518788267;ue_3;ap_0;12;3.0293;50000000.0;151465000.0
6.070047518788267;ue_4;ap_0;14;3.6094;50000000.0;180470000.0
6.073843578742242;ue_0;ap_5;27;7.4063;50000000.0;370315000.0
6.073843578742242;ue_9;ap_5;24;6.5703;50000000.0;328515000.0
6.073843578742242;ue_0;ap_5;23;6.2266;50000000.0;311330000.0
6.073843578742242;ue_9;ap_5;24;6.5703;50000000.0;328515000.0
6.133859762060262;ue_3;ap_0;12;3.0293;50000000.0;151465000.0
6.133859762060262;ue_4;ap_0;17;4.5234;50000000.0;226169999.99999997
6.133859762060262;ue_3;ap_0;12;3.0293;50000000.0;151465000.0
6.133859762060262;ue_4;ap_0;14;3.6094;50000000.0;180470000.0
6.4886496955681645;ue_0;ap_5;23;6.2266;50000000.0;311330000.0
6.4886496955681645;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
6.4886496955681645;ue_0;ap_5;23;6.2266;50000000.0;311330000.0
