cab_id;t_start;t_end
upthin_228;1212805227;1212805272
upthin_229;1212805273;1212805319
upthin_230;1212805334;1212805379
upthin_231;1212805395;1212805449
upthin_232;1212805465;1212805499
upthin_233;1212805515;1212805559
upthin_234;1212807012;1212807016
upthin_235;1212807076;1212807136
upthin_236;1212807194;1212807196
upthin_237;1212807255;1212807258
upthin_238;1212807281;1212807304
upthin_239;1212807351;1212807364
upthin_240;1212807402;1212807424
upthin_241;1212807458;1212807484
upthin_242;1212807514;1212807544
upthin_243;1212807580;1212807604
upthin_244;1212807641;1212807670
upthin_245;1212809405;1212809581
upthin_246;1212809779;1212811008
upthin_247;1212811069;1212811248
upthin_248;1212813136;1212813148
upthin_249;1212813186;1212813211
upthin_250;1212813246;1212813273
upthin_251;1212813306;1212813332
upthin_252;1212813366;1212813392
upthin_253;1212813426;1212813453
upthin_254;1212813486;1212813533
upthin_255;1212813546;1212813599
upthin_256;1212813606;1212813653
upthin_257;1212813688;1212813723
upthin_258;1212813752;1212813808
upthin_259;1212814308;1212814345
upthin_260;1212814406;1212814465
upthin_261;1212814466;1212814527
upthin_262;1212814543;1212814587
upthin_263;1212814607;1212814661
upthin_264;1212814666;1212814710
upthin_265;1212815322;1212815372
upthin_266;1212815419;1212815447
upthin_267;1212815488;1212815532
upthin_268;1212815540;1212815575
upthin_269;1212815605;1212815640
upthin_270;1212815641;1212815709
upthin_271;1212815712;1212815757
upthin_272;1212815770;1212815817
upthin_273;1212815830;1212815877
upthin_274;1212819175;1212819254
upthin_275;1212819255;1212819359
upthin_276;1212819379;1212819411
upthin_277;1212819439;1212819471
upthin_278;1212819513;1212819531
upthin_279;1212819579;1212819596
upthin_280;1212819636;1212819652
upthin_281;1212819695;1212819747
upthin_282;1212819752;1212819767
upthin_283;1212819812;1212819821
upthin_284;1212819872;1212819892
upthin_285;1212820214;1212820235
upthin_286;1212820275;1212820332
upthin_287;1212820343;1212820382
upthin_288;1212820733;1212820786
upthin_289;1212820824;1212820846
upthin_290;1212820887;1212820908
upthin_291;1212820947;1212821010
upthin_292;1212821644;1212821676
upthin_293;1212821704;1212821738
upthin_294;1212821740;1212821799
upthin_295;1212821805;1212821859
upthin_296;1212821890;1212821924
upthin_297;1212821974;1212821980
ancedvab_0;1212735768;1212736746
ancedvab_1;1212755836;1212756018
ancedvab_2;1212756078;1212757628
ancedvab_3;1212757698;1212758513
ancedvab_4;1212761254;1212762149
ancedvab_5;1212766873;1212770606
ancedvab_6;1212771308;1212772805
ancedvab_7;1212775219;1212775479
ancedvab_8;1212777607;1212780696
ancedvab_9;1212781048;1212782348
ancedvab_10;1212784466;1212784586
ancedvab_11;1212785439;1212787813
ancedvab_12;1212789860;1212791704
ancedvab_13;1212791770;1212792009
ancedvab_14;1212797875;1212798933
ancedvab_15;1212799167;1212800205
ancedvab_16;1212800532;1212801561
ancedvab_17;1212802080;1212802791
ancedvab_18;1212803434;1212804542
ancedvab_19;1212806502;1212807633
ancedvab_20;1212810429;1212810710
ancedvab_21;1212811775;1212814873
ancedvab_22;1212815069;1212815124
ancedvab_23;1212817329;1212818359
ancedvab_24;1212818582;1212820227
eytups_0;1212735767;1212735987
eytups_1;1212773933;1212774432
eytups_2;1212774601;1212774853
eytups_3;1212774918;1212775157
eytups_4;1212778077;1212780208
eytups_5;1212787371;1212787773
eytups_6;1212792161;1212792294
eytups_7;1212793741;1212793863
eytups_8;1212805417;1212807133
eytups_9;1212808271;1212809106
eytups_10;1212812652;1212813130
eytups_11;1212815675;1212815947
eytups_12;1212817617;1212818756
eytups_13;1212819239;1212819358
eytups_14;1212819425;1212819678
eytups_15;1212820736;1212821946
amnurgji_0;1212763535;1212764165
amnurgji_1;1212765323;1212765728
amnurgji_2;1212766823;1212766975
amnurgji_3;1212767163;1212767942
amnurgji_4;1212768837;1212769497
amnurgji_5;1212770704;1212772424
amnurgji_6;1212772870;1212774704
amnurgji_7;1212782415;1212782693
amnurgji_8;1212785987;1212786768
amnurgji_9;1212787658;1212788352
amnurgji_10;1212796880;1212797422
amnurgji_11;1212806367;1212806639
amnurgji_12;1212817909;1212818555
amnurgji_13;1212819269;1212820398
ansyut_0;1212735767;1212736199
ansyut_1;1212766349;1212769298
ansyut_2;1212774497;1212778195
ansyut_3;1212780691;1212781480
ansyut_4;1212784068;1212784711
ansyut_5;1212787628;1212788261
ansyut_6;1212791694;1212792190
ansyut_7;1212795266;1212795628
ansyut_8;1212799826;1212799906
ansyut_9;1212800087;1212800208
ansyut_10;1212801223;1212801549
ansyut_11;1212801670;1212801813
ansyut_12;1212806757;1212807258
ansyut_13;1212808727;1212810144
ansyut_14;1212812647;1212814347
ansyut_15;1212814533;1212814621
ansyut_16;1212814648;1212814666
ansyut_17;1212819497;1212819823
ujtosh_0;1212736335;1212736657
ujtosh_1;1212753189;1212753229
ujtosh_2;1212753354;1212754443
ujtosh_3;1212758682;1212758804
ujtosh_4;1212759061;1212759352
ujtosh_5;1212760509;1212761726
ujtosh_6;1212762046;1212762106
ujtosh_7;1212763053;1212763437
